Id	StageId	GroupId	StageItemId	X	Y	Z	MinSpawnCount	MaxSpawnCount
1	1	1	1	15	5	15	1	1
2	1	1	2	15	5	15	1	1
3	1	1	3	15	5	15	1	1
4	1	1	4	15	5	15	1	1
5	1	1	5	15	5	15	1	1
6	1	2	6	15	5	15	1	1
7	1	2	7	15	5	15	1	1
8	1	2	8	15	5	15	1	1
9	1	2	9	15	5	15	1	1
10	1	2	10	15	5	15	1	1
11	1	3	11	15	5	15	1	1
12	1	3	12	15	5	15	1	1
13	1	3	13	15	5	15	1	1
14	1	3	14	15	5	15	1	1
15	1	3	15	15	5	15	1	1
16	2	1	16	15	5	15	1	1
17	2	1	17	15	5	15	1	1
18	2	1	18	15	5	15	1	1
19	2	1	19	15	5	15	1	1
20	2	1	20	15	5	15	1	1
21	2	2	21	15	5	15	1	1
22	2	2	22	15	5	15	1	1
23	2	2	23	15	5	15	1	1
24	2	2	24	15	5	15	1	1
25	2	2	25	15	5	15	1	1
26	2	3	26	15	5	15	1	1
27	2	3	27	15	5	15	1	1
28	2	3	28	15	5	15	1	1
29	2	3	29	15	5	15	1	1
30	2	3	30	15	5	15	1	1
31	3	1	31	15	5	15	1	1
32	3	1	32	15	5	15	1	1
33	3	1	33	15	5	15	1	1
34	3	1	34	15	5	15	1	1
35	3	1	35	15	5	15	1	1
36	3	2	36	15	5	15	1	1
37	3	2	37	15	5	15	1	1
38	3	2	38	15	5	15	1	1
39	3	2	39	15	5	15	1	1
40	3	2	40	15	5	15	1	1
41	3	3	41	15	5	15	1	1
42	3	3	42	15	5	15	1	1
43	3	3	43	15	5	15	1	1
44	3	3	44	15	5	15	1	1
45	3	3	45	15	5	15	1	1
46	3	3	46	15	5	15	1	1
47	3	3	47	15	5	15	1	1
48	3	3	48	15	5	15	1	1
49	3	3	49	15	5	15	1	1
50	3	3	50	15	5	15	1	1
51	3	3	51	15	5	15	1	1
